Nombre;Descripcion;Precio_Euros;URL_Producto;URL_Imagen
Cerveza Andares Cerex 33 cl;Cerveza estilo IPA de aroma frutal lupulado, con presencia persistente de notas a jamón ibérico de bellota. 7% Vol. Se presenta en botella de vidrio de 33 cl.;4.50;https://tienda.productostipicosregionales.es/cerveza/777-cerveza-andares-cerex-33-cl.html;https://tienda.productostipicosregionales.es/935-home_default/cerveza-andares-cerex-33-cl.jpg
Cerveza Artesana Kadabra Red Ale 33 cl;Cerveza Irish Red Ale de sabor malteado y acaramelado. 5,5 Vol. Se presenta en botella de 33 cl.;2.25;https://tienda.productostipicosregionales.es/cerveza/549-cerveza-artesana-kadabra-red-ale-33-cl.html;https://tienda.productostipicosregionales.es/577-home_default/cerveza-artesana-kadabra-red-ale-33-cl.jpg
Cerveza Castaña Cerex 33 cl;Cerveza de sabor dulce y final armonioso a castaña silvestre. Aromas con recuerdo a pimentón y leña de encina. 5% Vol. Se presenta en botella de vidrio de 33 cl.;2.75;https://tienda.productostipicosregionales.es/cerveza/774-cerveza-castana-cerex-33-cl.html;https://tienda.productostipicosregionales.es/932-home_default/cerveza-castana-cerex-33-cl.jpg
Cerveza Cereza Cerex 33 cl;Cerveza que combina a la perfección la acidez del carbónico, el dulzor de las cerezas y el amargor del lúpulo. Aromas de frutales y florales. 5% Vol. Se presenta en botella de vidrio de 33 cl.;2.75;https://tienda.productostipicosregionales.es/cerveza/775-cerveza-cereza-cerex-33-cl.html;https://tienda.productostipicosregionales.es/933-home_default/cerveza-cereza-cerex-33-cl.jpg
Cerveza Ibérica de Bellota Cerex 33 cl;Cerveza tostada con toques de naranja, nuez y frutos secos. Aroma rústico y notas de pasto húmedo y bellotas. 6,5% Vol. Se presenta en botella de vidrio de 33 cl.;2.75;https://tienda.productostipicosregionales.es/cerveza/773-cerveza-iberica-de-bellota-cerex-33-cl.html;https://tienda.productostipicosregionales.es/931-home_default/cerveza-iberica-de-bellota-cerex-33-cl.jpg
Cerveza Pilsen 5 Cerex 33 cl;Cerveza dorada con sabor a pan recién horneado y un sorprendente final cítrico. 5% Vol. Se presenta en botella de vidrio de 33 cl.;2.75;https://tienda.productostipicosregionales.es/cerveza/776-cerveza-pilsen-5-cerex-33-cl.html;https://tienda.productostipicosregionales.es/934-home_default/cerveza-pilsen-5-cerex-33-cl.jpg
Champiñón Laminado Juker 660 gr;Champiñón laminado de primera calidad de Pradejón (La Rioja), cocinado en fresco tras su inmediata recogida en cultivo. Se presenta en tarro de 660 gr. Peso Neto Escurrido: 355g.;3.50;https://tienda.productostipicosregionales.es/conservas-vegetales/297-champinon-laminado-juker-660-gr.html;https://tienda.productostipicosregionales.es/325-home_default/champinon-laminado-juker-660-gr.jpg
Chipirones En Su Tinta Agromar 230 Gr;Chipirones en su tinta seleccionados y empacados cuidadosamente a mano para su perfecta presentación. Producto natural sin conservantes ni colorantes. Se presenta en tarro de vidrio de 230 gr. Peso Neto Escurrido: 150 g.;10.50;https://tienda.productostipicosregionales.es/plato-de-tenedor/1355-chipirones-en-su-tinta-agromar-230-gr.html;https://tienda.productostipicosregionales.es/2172-home_default/chipirones-en-su-tinta-agromar-230-gr.jpg
Chipirones Rellenos en su Tinta 6/8 p. Conservas de Cambados...;Chipirones en su tinta y rellenos de sus propios tentáculos, seleccionados y empacados cuidadosamente a mano para su perfecta presentación. Producto natural sin conservantes ni colorantes. Se presenta en lata decoración red con abre-fácil de 120 ml. Peso Neto Escurrido: 72 g.;6.95;https://tienda.productostipicosregionales.es/conservas-del-mar/1325-chipirones-rellenos-en-su-tinta-6-8-p-conservas-de-cambados-gourmet-120-ml.html;https://tienda.productostipicosregionales.es/1698-home_default/chipirones-rellenos-en-su-tinta-6-8-p-conservas-de-cambados-gourmet-120-ml.jpg
Chocolate Blanco con Limón La Tierra del Artesano 300 gr;Exquisito chocolate blanco elaborado de forma artesana y combinado con un toque de limón, dando lugar a un chocolate dulce por la presencia de la vainilla y el azúcar, pero con un ligero sabor amargo aportado por el limón. 24% de cacao mínimo. Se presenta en formato “lingote” de 300 gr.;9.50;https://tienda.productostipicosregionales.es/chocolates/221-chocolate-blanco-con-limon-la-tierra-del-artesano-300-gr.html;https://tienda.productostipicosregionales.es/737-home_default/chocolate-blanco-con-limon-la-tierra-del-artesano-300-gr.jpg
